GSM,515,2,20266,21686,0,121.0264,14.5241,500,50,1,1363306403,1760144584,0
GSM,515,2,20266,31686,0,121.0245,14.5243,996,50,1,1363306459,1760144584,0
GSM,515,2,20260,41281,0,121.0358,14.56,2306,22,1,1363309147,1745487973,0
GSM,515,2,20260,31247,0,121.0385,14.5576,1000,19,1,1363309266,1745487972,0
GSM,515,2,20260,21247,0,121.0411,14.5579,1000,20,1,1363309349,1745487973,0
GSM,515,2,20260,22590,0,121.0409,14.5575,500,50,1,1363309375,1745487972,0
GSM,515,2,20260,1328,0,121.0453,14.5587,529,50,1,1363309565,1745487965,0
GSM,515,2,20260,11247,0,121.041,14.5598,639,36,1,1363309908,1745487973,0
GSM,515,2,20237,31203,0,121.0435,14.5689,9350,20,1,1363310099,1760143982,0
GSM,515,2,20237,11203,0,121.0466,14.5667,3592,50,1,1363310156,1745487965,0
GSM,515,2,20237,12203,0,121.0462,14.5718,9068,39,1,1363310186,1760144468,0
GSM,515,2,20237,21527,0,121.0515,14.5783,1000,13,1,1363310337,1760143929,0
GSM,515,2,20237,31525,0,121.0525,14.585,7788,20,1,1363310347,1760143983,0
GSM,515,2,20235,31192,0,121.0508,14.6195,4159,33,1,1363310821,1760143985,0
GSM,515,2,20217,11169,0,121.045,14.6331,2539,30,1,1363310867,1760143985,0
GSM,515,2,20217,21169,0,121.0449,14.6314,2698,38,1,1363310965,1760144404,0
GSM,515,2,20217,12169,0,121.0494,14.6325,2867,50,1,1363310996,1760144404,0
GSM,515,2,20217,13109,0,121.038,14.6434,1169,50,1,1363311109,1760143986,0
GSM,515,2,20213,13101,0,121.0728,14.6587,674,37,1,1363325671,1760144345,0
GSM,515,2,20213,33101,0,121.0733,14.656,550,33,1,1363325671,1760144044,0
GSM,515,2,20239,11640,0,121.0788,14.592,1958,17,1,1363326181,1745487967,0
GSM,515,2,20239,31640,0,121.0797,14.5883,500,50,1,1363326248,1745487967,0
GSM,515,2,20263,12265,0,121.0636,14.5571,823,50,1,1363327754,1760144469,0
GSM,515,2,20263,12440,0,121.0574,14.552,1000,11,1,1363327790,1750807861,0
GSM,515,2,20263,32440,0,121.0549,14.5524,1000,9,1,1363327882,1750807861,0
GSM,515,2,20263,13120,0,121.0459,14.5459,891,25,1,1363328670,1760144522,0
GSM,515,2,20263,33120,0,121.043,14.5461,1000,11,1,1363328685,1760144461,0
GSM,515,2,20260,21221,0,121.0373,14.5471,518,50,1,1363328760,1760144462,0
GSM,515,2,20260,32221,0,121.0286,14.5445,930,28,1,1363328856,1760144462,0
GSM,515,2,20260,31221,0,121.032,14.5458,1000,18,1,1363328933,1760144462,0
GSM,515,2,20260,22221,0,121.034,14.5448,691,27,1,1363339904,1760144462,0
GSM,515,2,20263,23120,0,121.0442,14.5438,1000,18,1,1363340071,1760144461,0
GSM,515,2,20263,39627,0,121.0458,14.5491,1000,22,1,1363340302,1760144523,0
GSM,515,2,20263,22460,0,121.0535,14.5491,500,50,1,1363340526,1760144524,0
GSM,515,2,20263,22354,0,121.0486,14.5503,1000,14,1,1363342147,1760144472,0
GSM,515,2,20263,21688,0,121.0455,14.5552,500,50,1,1363342642,1760144407,0
GSM,515,2,20260,22589,0,121.0347,14.5559,1000,16,1,1363342876,1745487964,0
GSM,515,2,20260,12590,0,121.0428,14.5623,3585,20,1,1363580532,1745487973,0
GSM,515,2,20237,32203,0,121.0445,14.5646,863,25,1,1363580533,1760144468,0
GSM,515,2,20237,21526,0,121.0493,14.5747,1000,18,1,1363580533,1760143809,0
GSM,515,2,20239,22607,0,121.0731,14.5897,1000,19,1,1363580540,1745487967,0
GSM,515,2,20239,21607,0,121.0749,14.5896,1000,18,1,1363580540,1745487967,0
GSM,515,2,20237,21203,0,121.0469,14.5669,1000,14,1,1363580558,1760144468,0
GSM,515,2,20237,21534,0,121.0469,14.5732,500,25,1,1363580558,1745487965,0
